name,institution,is_university,level,students,rating,first_review_on
aboriginal worldviews and education,university of toronto,1,mixed,6600,4.6,2017-03-22
"information systems auditing, controls and assurance",the hong kong university of science and technology,1,-,0,4.7,2020-02-09
six sigma principles,university system of georgia,1,-,0,4.6,2017-07-24
business writing,university of colorado boulder,1,beginner,48000,4.8,2016-08-07
autodesk certified professional: autocad for design and drafting exam prep,autodesk,0,expert,22000,4.7,2019-12-27
introduction to typography,california institute of the arts,1,beginner,72000,4.8,2016-03-14
customer segmentation and prospecting,northwestern university,1,beginner,18000,4.8,2018-06-18
claves para gestionar personas,iese business school,1,-,0,4.9,2016-04-04
english for journalism,university of pennsylvania,1,mixed,130000,4.8,2016-08-15
how things work: an introduction to physics,university of virginia,1,intermediate,170000,4.9,2015-08-08
business english: networking,university of washington,1,intermediate,77000,4.9,2016-02-10
summary statistics in public health,johns hopkins university,1,beginner,11000,4.8,2019-01-23
global energy and climate policy,university of london,1,-,0,4.7,2017-07-03
el abogado del futuro: legaltech y la transformación digital del derecho,universidad austral,1,beginner,1500,5.0,2020-05-14
probability and statistics: to p or not to p?,university of london,1,beginner,36000,4.7,2018-09-03
gut check: exploring your microbiome,university of colorado boulder,1,-,0,4.8,2015-08-09
econometrics: methods and applications,erasmus university rotterdam,1,mixed,110000,4.5,2015-11-03
